2025-09-08 17:58:40 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-09-08 17:58:40 | INFO     | DF | Running on device cpu
2025-09-08 17:58:40 | INFO     | DF | Model loaded
2025-09-08 17:59:52 | INFO     | DF | Running on torch 2.8.0+cpu
2025-09-08 17:59:52 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-09-08 17:59:52 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-09-08 17:59:52 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-09-08 17:59:52 | INFO     | DF | Initializing model `deepfilternet3`
2025-09-08 17:59:52 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-09-08 17:59:52 | INFO     | DF | Running on device cpu
2025-09-08 17:59:52 | INFO     | DF | Model loaded
2025-09-08 18:01:00 | INFO     | DF | Running on torch 2.8.0+cpu
2025-09-08 18:01:00 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-09-08 18:01:00 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-09-08 18:01:00 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-09-08 18:01:00 | INFO     | DF | Initializing model `deepfilternet3`
